participant_id,trial_number,condition,participant_age_months,total_transitions,agent_agent_attention_pct,agent_object_binding_pct,motion_tracking_pct
Eight-0101-1579,1,ugw,8.0,1,0.0,0.0,1.0
Eight-0101-1579,2,ugw,8.0,2,0.0,0.0,1.0
Eight-0101-947,4,ugw,8.0,2,0.0,0.0,1.0
Eight-0201-1464,2,ugw,8.0,1,0.0,0.0,0.0
Eight-0201-1464,6,ugw,8.0,4,0.0,0.25,0.5
Eight-0301-1158,4,ugw,8.0,4,0.0,0.0,0.0
Eight-0401-1638,1,ugw,8.0,3,0.0,0.0,0.3333333333333333
Eight-0401-1638,9,ugw,8.0,1,0.0,1.0,0.0
Eight-0401-1638,11,ugw,8.0,2,0.0,0.0,1.0
Eight-0401-1638,14,ugw,8.0,6,0.0,0.0,0.8333333333333334
Eight-0401-1638,17,ugw,8.0,4,0.0,0.0,0.75
Eight-0501-6206,1,ugw,8.0,6,0.0,0.0,0.6666666666666666
Eight-0501-6206,2,ugw,8.0,4,0.0,0.25,0.5
Eight-0501-6206,3,ugw,8.0,1,0.0,0.0,1.0
Eight-0601-5801,1,ugw,8.0,3,0.0,0.6666666666666666,0.0
Eight-0601-5801,2,ugw,8.0,3,0.0,0.6666666666666666,0.0
Eleven-0101-141,1,ugw,11.0,4,0.0,0.0,1.0
Eleven-0101-141,2,ugw,11.0,1,0.0,0.0,1.0
Eleven-0101-141,3,ugw,11.0,1,0.0,0.0,1.0
Eleven-0101-342,1,ugw,11.0,1,0.0,0.0,1.0
Eleven-0101-342,2,ugw,11.0,4,0.0,0.25,0.25
Eleven-0101-342,4,ugw,11.0,3,0.0,0.0,0.6666666666666666
Eleven-0201-209,1,ugw,11.0,5,0.2,0.2,0.4
Eleven-0201-209,2,ugw,11.0,4,0.0,0.25,0.5
Eleven-0201-209,3,ugw,11.0,4,0.0,0.5,0.5
Eleven-0202-5721,1,ugw,11.0,1,0.0,1.0,0.0
Eleven-0202-5721,3,ugw,11.0,2,0.0,0.0,1.0
Eleven-0301-372,11,ugw,11.0,2,0.5,0.5,0.0
Eleven-0301-372,12,ugw,11.0,3,0.0,0.3333333333333333,0.3333333333333333
Eleven-0301-418,1,ugw,11.0,4,0.0,0.25,0.5
Eleven-0301-418,2,ugw,11.0,2,0.0,0.5,0.0
Eleven-0301-418,3,ugw,11.0,6,0.0,0.16666666666666666,0.6666666666666666
Eleven-0301-5909,1,ugw,11.0,3,0.0,0.3333333333333333,0.3333333333333333
Eleven-0301-5909,3,ugw,11.0,2,0.0,0.5,0.0
Eleven-0501-837,1,ugw,11.0,3,0.0,0.0,0.6666666666666666
Eleven-0501-837,4,ugw,11.0,4,0.0,0.5,0.25
FiftySix-0501-1673,1,ugw,672.0,8,0.125,0.25,0.625
FortyOne-0101-1677,1,ugw,492.0,1,0.0,0.0,1.0
FortyOne-0101-1677,2,ugw,492.0,5,0.0,0.0,0.8
FortyOne-0101-1677,3,ugw,492.0,5,0.0,0.0,1.0
FortySix-0101-1666,1,ugw,552.0,4,0.25,0.25,0.5
FortySix-0101-1666,2,ugw,552.0,1,0.0,0.0,1.0
FortySix-0101-1666,3,ugw,552.0,1,0.0,0.0,1.0
FourtySix-0401-1672,1,ugw,552.0,8,0.125,0.5,0.125
FourtySix-0401-1672,2,ugw,552.0,8,0.125,0.625,0.125
FourtySix-0401-1672,3,ugw,552.0,4,0.0,0.0,1.0
FourtySix-0401-1672,4,ugw,552.0,3,0.0,0.3333333333333333,0.6666666666666666
Nine-0101-694,1,ugw,9.0,1,0.0,0.0,1.0
Nine-0101-694,2,ugw,9.0,2,0.0,0.0,1.0
Nine-0201-1035,2,ugw,9.0,1,0.0,0.0,1.0
Nine-0201-1035,3,ugw,9.0,4,0.0,0.0,0.5
Nine-0201-464,1,ugw,9.0,3,0.0,0.3333333333333333,0.0
Nine-0201-464,5,ugw,9.0,3,0.0,0.0,0.0
Nine-0301-1009,1,ugw,9.0,2,0.0,0.5,0.0
Nine-0301-1009,2,ugw,9.0,1,0.0,0.0,1.0
Nine-0301-1171,1,ugw,9.0,1,0.0,0.0,1.0
Nine-0301-1171,3,ugw,9.0,4,0.0,0.0,1.0
Nine-0301-1171,4,ugw,9.0,4,0.0,0.0,1.0
Nine-0301-1171,5,ugw,9.0,1,0.0,0.0,1.0
Nine-0401-1013,1,ugw,9.0,2,0.0,0.0,1.0
Nine-0401-1013,2,ugw,9.0,3,0.0,0.3333333333333333,0.0
Nine-0401-1096,1,ugw,9.0,3,0.0,0.0,0.3333333333333333
Nine-0401-1096,2,ugw,9.0,2,0.0,0.5,0.0
Nine-0401-1096,3,ugw,9.0,1,0.0,0.0,1.0
Nine-0401-1096,4,ugw,9.0,1,0.0,0.0,1.0
Nine-0502-5656,1,ugw,9.0,6,0.0,0.0,0.8333333333333334
Nine-0502-5656,2,ugw,9.0,8,0.0,0.125,0.75
Nine-0502-5656,3,ugw,9.0,3,0.0,0.0,1.0
Nine-0601-5532,1,ugw,9.0,2,0.0,0.0,1.0
Nine-0601-5532,5,ugw,9.0,2,0.0,0.0,1.0
Seven-0102-5982,1,ugw,7.0,2,0.0,0.0,1.0
Seven-0201-1152,1,ugw,7.0,4,0.0,0.25,0.5
Seven-0201-1152,2,ugw,7.0,2,0.0,0.0,0.0
Seven-0201-1152,4,ugw,7.0,3,0.0,0.6666666666666666,0.0
Seven-0202-6362,3,ugw,7.0,3,0.0,0.3333333333333333,0.3333333333333333
Seven-0301-6399,1,ugw,7.0,2,0.0,0.0,1.0
Seven-0601-6417,1,ugw,7.0,2,0.0,0.0,0.5
Seven-0601-6417,3,ugw,7.0,3,0.0,0.0,0.0
Seven-0601-6417,4,ugw,7.0,2,0.0,0.0,0.0
Seven-0601-6417,5,ugw,7.0,2,0.0,0.5,0.0
Ten-0101-246,1,ugw,10.0,3,0.0,0.3333333333333333,0.6666666666666666
Ten-0101-246,2,ugw,10.0,1,0.0,1.0,0.0
Ten-0102-5728,1,ugw,10.0,4,0.0,0.25,0.5
Ten-0102-5728,7,ugw,10.0,4,0.0,0.25,0.5
Ten-0102-5728,8,ugw,10.0,2,0.0,0.5,0.0
Ten-0102-5728,9,ugw,10.0,3,0.0,0.0,0.3333333333333333
Ten-0301-242,1,ugw,10.0,3,0.0,0.0,0.3333333333333333
Ten-0301-242,2,ugw,10.0,2,0.0,1.0,0.0
Ten-0401-800,1,ugw,10.0,3,0.0,0.6666666666666666,0.3333333333333333
Ten-0401-800,2,ugw,10.0,1,0.0,0.0,1.0
Ten-0401-800,4,ugw,10.0,1,0.0,1.0,0.0
Ten-0501-455,1,ugw,10.0,3,0.0,0.0,0.6666666666666666
Ten-0501-455,2,ugw,10.0,2,0.0,0.0,1.0
Ten-0501-455,3,ugw,10.0,1,0.0,0.0,1.0
Ten-0501-5669,1,ugw,10.0,7,0.0,0.5714285714285714,0.42857142857142855
Ten-0501-5669,2,ugw,10.0,5,0.0,0.2,0.6
Ten-0501-5669,5,ugw,10.0,3,0.0,0.0,0.3333333333333333
Ten-0501-5753,1,ugw,10.0,3,0.0,0.0,1.0
Ten-0501-5753,2,ugw,10.0,5,0.0,0.0,1.0
Ten-0501-5753,3,ugw,10.0,5,0.0,0.0,1.0
Ten-0601-5737,1,ugw,10.0,5,0.0,0.4,0.4
Ten-0601-5737,4,ugw,10.0,2,0.0,0.0,0.0
Ten-0601-825,1,ugw,10.0,2,0.0,0.0,0.0
Ten-0601-825,2,ugw,10.0,4,0.0,0.75,0.0
Ten-0601-825,3,ugw,10.0,1,0.0,1.0,0.0
Ten-0601-825,4,ugw,10.0,6,0.16666666666666666,0.16666666666666666,0.5
Ten-0602-5894,1,ugw,10.0,5,0.0,0.2,0.4
Ten-0602-5894,2,ugw,10.0,4,0.0,0.0,0.5
Ten-0602-5894,3,ugw,10.0,4,0.0,0.0,0.75
ThirtyFive-0301-1675,2,ugw,420.0,5,0.0,0.2,0.2
ThirtyFive-0301-1675,3,ugw,420.0,1,0.0,0.0,1.0
ThirtyNine-0101-1660,1,ugw,468.0,4,0.25,0.25,0.5
ThirtyNine-0101-1660,2,ugw,468.0,3,0.3333333333333333,0.0,0.3333333333333333
ThirtyNine-0101-1660,3,ugw,468.0,5,0.2,0.2,0.6
ThirtyOne-0201-1676,3,ugw,372.0,5,0.0,0.0,0.8
TwentyEight-0101-1664,1,ugw,336.0,3,0.3333333333333333,0.6666666666666666,0.0
TwentyEight-0101-1664,2,ugw,336.0,5,0.0,0.0,0.4
TwentyEight-0101-1664,3,ugw,336.0,1,0.0,0.0,1.0
TwentyEight-0101-1664,4,ugw,336.0,1,0.0,1.0,0.0
TwentyFive-0101-1667,2,ugw,300.0,5,0.0,0.2,0.6
TwentyFive-0101-1667,3,ugw,300.0,7,0.0,0.42857142857142855,0.42857142857142855
TwentyFive-0201-1669,3,ugw,300.0,3,0.3333333333333333,0.6666666666666666,0.0
TwentyFour-0101-1663,1,ugw,288.0,5,0.0,0.2,0.6
TwentyFour-0101-1663,2,ugw,288.0,9,0.0,0.0,1.0
TwentyFour-0101-1663,3,ugw,288.0,4,0.0,0.0,1.0
TwentySeven-0101-1670,1,ugw,324.0,4,0.0,1.0,0.0
TwentySeven-0101-1670,2,ugw,324.0,6,0.0,0.16666666666666666,0.6666666666666666
TwentySeven-0101-1670,3,ugw,324.0,3,0.3333333333333333,0.6666666666666666,0.0
TwentyThree-0601-1671,1,ugw,276.0,3,0.0,0.6666666666666666,0.3333333333333333
TwentyThree-0601-1671,2,ugw,276.0,8,0.125,0.5,0.25
TwentyThree-0601-1671,3,ugw,276.0,3,0.0,0.3333333333333333,0.3333333333333333
TwentyTwo-0101-1661,5,ugw,264.0,4,0.25,0.0,0.5
TwentyTwo-0201-1665,1,ugw,264.0,6,0.0,0.3333333333333333,0.6666666666666666
TwentyTwo-0201-1665,2,ugw,264.0,2,0.0,0.5,0.5
TwentyTwo-0201-1665,3,ugw,264.0,5,0.0,0.8,0.2
