cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.012345679012345678,0.01234567901234568,27
10-month-olds,Agent-Object Binding,0.29029982363315693,0.06805324029209414,27
10-month-olds,Motion Tracking,0.43871252204585537,0.07254548814062489,27
11-month-olds,Agent-Agent Attention,0.039473684210526314,0.028760695282026332,19
11-month-olds,Agent-Object Binding,0.293859649122807,0.06157730903114819,19
11-month-olds,Motion Tracking,0.40789473684210525,0.08781671004491932,19
7-month-olds,Agent-Agent Attention,0.0,0.0,9
7-month-olds,Agent-Object Binding,0.19444444444444445,0.0856168611523469,9
7-month-olds,Motion Tracking,0.25925925925925924,0.11821430865558985,9
8-month-olds,Agent-Agent Attention,0.0,0.0,14
8-month-olds,Agent-Object Binding,0.20238095238095236,0.0889646241113611,14
8-month-olds,Motion Tracking,0.49404761904761907,0.11338405381496591,14
9-month-olds,Agent-Agent Attention,0.0,0.0,22
9-month-olds,Agent-Object Binding,0.11363636363636363,0.056329063548368405,22
9-month-olds,Motion Tracking,0.6931818181818182,0.09581590023323332,22
Adults,Agent-Agent Attention,0.08392857142857141,0.026466965582715964,30
Adults,Agent-Object Binding,0.35944444444444446,0.059532290948386045,30
Adults,Motion Tracking,0.4284920634920635,0.06410376685768025,30
