cohort,strategy,mean,sem,n_trials,n_participants
10-month-olds,Agent-Agent Attention,0.1714795008912656,0.0535658078033399,33,11
10-month-olds,Agent-Object Binding,0.42301424066129945,0.05775180370564901,33,11
10-month-olds,Motion Tracking,0.1682206682206682,0.04863757590097612,33,11
11-month-olds,Agent-Agent Attention,0.15773344302756065,0.05250398177879817,26,8
11-month-olds,Agent-Object Binding,0.5420274578362814,0.04417183450119125,26,8
11-month-olds,Motion Tracking,0.0915719696969697,0.0389279584828572,26,8
7-month-olds,Agent-Agent Attention,0.056249999999999994,0.03020063530814994,23,8
7-month-olds,Agent-Object Binding,0.24444444444444444,0.048534520161080334,23,8
7-month-olds,Motion Tracking,0.45625,0.09949961613549627,23,8
8-month-olds,Agent-Agent Attention,0.12473544973544974,0.04332116602765804,25,9
8-month-olds,Agent-Object Binding,0.30209918984428785,0.04792945377014138,25,9
8-month-olds,Motion Tracking,0.2776199200218808,0.05122648768170208,25,9
9-month-olds,Agent-Agent Attention,0.07486772486772487,0.03391664394242998,23,9
9-month-olds,Agent-Object Binding,0.4205026455026455,0.07015390933264522,23,9
9-month-olds,Motion Tracking,0.3021164021164021,0.07866100838282533,23,9
Adults,Agent-Agent Attention,0.3427277165633606,0.051033443940904956,45,14
Adults,Agent-Object Binding,0.4037884432949381,0.0438585379307385,45,14
Adults,Motion Tracking,0.05999177130806555,0.016569962539532475,45,14
