cohort,from_aoi,to_aoi,mean_count
7-month-olds,man_face,man_body,0.4
7-month-olds,man_face,woman_face,0.0
7-month-olds,man_face,woman_body,0.0
7-month-olds,man_face,toy_present,0.4
7-month-olds,man_face,toy_location,0.0
7-month-olds,man_body,man_face,0.7
7-month-olds,man_body,woman_face,0.0
7-month-olds,man_body,woman_body,0.1
7-month-olds,man_body,toy_present,0.2
7-month-olds,man_body,toy_location,0.0
7-month-olds,woman_face,man_face,0.0
7-month-olds,woman_face,man_body,0.0
7-month-olds,woman_face,woman_body,0.0
7-month-olds,woman_face,toy_present,0.0
7-month-olds,woman_face,toy_location,0.0
7-month-olds,woman_body,man_face,0.0
7-month-olds,woman_body,man_body,0.0
7-month-olds,woman_body,woman_face,0.0
7-month-olds,woman_body,toy_present,0.2
7-month-olds,woman_body,toy_location,0.0
7-month-olds,toy_present,man_face,0.1
7-month-olds,toy_present,man_body,0.0
7-month-olds,toy_present,woman_face,0.0
7-month-olds,toy_present,woman_body,0.4
7-month-olds,toy_present,toy_location,0.0
7-month-olds,toy_location,man_face,0.0
7-month-olds,toy_location,man_body,0.0
7-month-olds,toy_location,woman_face,0.0
7-month-olds,toy_location,woman_body,0.0
7-month-olds,toy_location,toy_present,0.0
8-month-olds,man_face,man_body,0.1875
8-month-olds,man_face,woman_face,0.0
8-month-olds,man_face,woman_body,0.0
8-month-olds,man_face,toy_present,0.25
8-month-olds,man_face,toy_location,0.0
8-month-olds,man_body,man_face,0.4375
8-month-olds,man_body,woman_face,0.0
8-month-olds,man_body,woman_body,0.125
8-month-olds,man_body,toy_present,0.4375
8-month-olds,man_body,toy_location,0.0
8-month-olds,woman_face,man_face,0.0
8-month-olds,woman_face,man_body,0.0
8-month-olds,woman_face,woman_body,0.0
8-month-olds,woman_face,toy_present,0.0
8-month-olds,woman_face,toy_location,0.0
8-month-olds,woman_body,man_face,0.0625
8-month-olds,woman_body,man_body,0.125
8-month-olds,woman_body,woman_face,0.0
8-month-olds,woman_body,toy_present,0.4375
8-month-olds,woman_body,toy_location,0.0
8-month-olds,toy_present,man_face,0.125
8-month-olds,toy_present,man_body,0.25
8-month-olds,toy_present,woman_face,0.0625
8-month-olds,toy_present,woman_body,0.4375
8-month-olds,toy_present,toy_location,0.0
8-month-olds,toy_location,man_face,0.0
8-month-olds,toy_location,man_body,0.0
8-month-olds,toy_location,woman_face,0.0
8-month-olds,toy_location,woman_body,0.0
8-month-olds,toy_location,toy_present,0.0
9-month-olds,man_face,man_body,0.08695652173913043
9-month-olds,man_face,woman_face,0.0
9-month-olds,man_face,woman_body,0.08695652173913043
9-month-olds,man_face,toy_present,0.13043478260869565
9-month-olds,man_face,toy_location,0.0
9-month-olds,man_body,man_face,0.21739130434782608
9-month-olds,man_body,woman_face,0.0
9-month-olds,man_body,woman_body,0.08695652173913043
9-month-olds,man_body,toy_present,0.6956521739130435
9-month-olds,man_body,toy_location,0.0
9-month-olds,woman_face,man_face,0.0
9-month-olds,woman_face,man_body,0.0
9-month-olds,woman_face,woman_body,0.0
9-month-olds,woman_face,toy_present,0.0
9-month-olds,woman_face,toy_location,0.0
9-month-olds,woman_body,man_face,0.0
9-month-olds,woman_body,man_body,0.17391304347826086
9-month-olds,woman_body,woman_face,0.0
9-month-olds,woman_body,toy_present,0.30434782608695654
9-month-olds,woman_body,toy_location,0.0
9-month-olds,toy_present,man_face,0.08695652173913043
9-month-olds,toy_present,man_body,0.13043478260869565
9-month-olds,toy_present,woman_face,0.0
9-month-olds,toy_present,woman_body,0.6086956521739131
9-month-olds,toy_present,toy_location,0.0
9-month-olds,toy_location,man_face,0.0
9-month-olds,toy_location,man_body,0.0
9-month-olds,toy_location,woman_face,0.0
9-month-olds,toy_location,woman_body,0.0
9-month-olds,toy_location,toy_present,0.0
10-month-olds,man_face,man_body,0.06896551724137931
10-month-olds,man_face,woman_face,0.034482758620689655
10-month-olds,man_face,woman_body,0.034482758620689655
10-month-olds,man_face,toy_present,0.2413793103448276
10-month-olds,man_face,toy_location,0.0
10-month-olds,man_body,man_face,0.2413793103448276
10-month-olds,man_body,woman_face,0.0
10-month-olds,man_body,woman_body,0.13793103448275862
10-month-olds,man_body,toy_present,0.5172413793103449
10-month-olds,man_body,toy_location,0.0
10-month-olds,woman_face,man_face,0.0
10-month-olds,woman_face,man_body,0.0
10-month-olds,woman_face,woman_body,0.034482758620689655
10-month-olds,woman_face,toy_present,0.1724137931034483
10-month-olds,woman_face,toy_location,0.0
10-month-olds,woman_body,man_face,0.034482758620689655
10-month-olds,woman_body,man_body,0.1724137931034483
10-month-olds,woman_body,woman_face,0.06896551724137931
10-month-olds,woman_body,toy_present,0.4482758620689655
10-month-olds,woman_body,toy_location,0.0
10-month-olds,toy_present,man_face,0.3103448275862069
10-month-olds,toy_present,man_body,0.06896551724137931
10-month-olds,toy_present,woman_face,0.06896551724137931
10-month-olds,toy_present,woman_body,0.5862068965517241
10-month-olds,toy_present,toy_location,0.0
10-month-olds,toy_location,man_face,0.0
10-month-olds,toy_location,man_body,0.0
10-month-olds,toy_location,woman_face,0.0
10-month-olds,toy_location,woman_body,0.0
10-month-olds,toy_location,toy_present,0.0
11-month-olds,man_face,man_body,0.0
11-month-olds,man_face,woman_face,0.05
11-month-olds,man_face,woman_body,0.0
11-month-olds,man_face,toy_present,0.55
11-month-olds,man_face,toy_location,0.0
11-month-olds,man_body,man_face,0.45
11-month-olds,man_body,woman_face,0.0
11-month-olds,man_body,woman_body,0.05
11-month-olds,man_body,toy_present,0.35
11-month-olds,man_body,toy_location,0.0
11-month-olds,woman_face,man_face,0.05
11-month-olds,woman_face,man_body,0.0
11-month-olds,woman_face,woman_body,0.0
11-month-olds,woman_face,toy_present,0.1
11-month-olds,woman_face,toy_location,0.0
11-month-olds,woman_body,man_face,0.0
11-month-olds,woman_body,man_body,0.1
11-month-olds,woman_body,woman_face,0.05
11-month-olds,woman_body,toy_present,0.4
11-month-olds,woman_body,toy_location,0.0
11-month-olds,toy_present,man_face,0.1
11-month-olds,toy_present,man_body,0.2
11-month-olds,toy_present,woman_face,0.0
11-month-olds,toy_present,woman_body,0.5
11-month-olds,toy_present,toy_location,0.0
11-month-olds,toy_location,man_face,0.0
11-month-olds,toy_location,man_body,0.0
11-month-olds,toy_location,woman_face,0.0
11-month-olds,toy_location,woman_body,0.0
11-month-olds,toy_location,toy_present,0.0
Adults,man_face,man_body,0.08333333333333333
Adults,man_face,woman_face,0.1388888888888889
Adults,man_face,woman_body,0.0
Adults,man_face,toy_present,0.4166666666666667
Adults,man_face,toy_location,0.0
Adults,man_body,man_face,0.05555555555555555
Adults,man_body,woman_face,0.05555555555555555
Adults,man_body,woman_body,0.027777777777777776
Adults,man_body,toy_present,0.5555555555555556
Adults,man_body,toy_location,0.0
Adults,woman_face,man_face,0.16666666666666666
Adults,woman_face,man_body,0.0
Adults,woman_face,woman_body,0.08333333333333333
Adults,woman_face,toy_present,0.25
Adults,woman_face,toy_location,0.0
Adults,woman_body,man_face,0.05555555555555555
Adults,woman_body,man_body,0.08333333333333333
Adults,woman_body,woman_face,0.08333333333333333
Adults,woman_body,toy_present,0.5555555555555556
Adults,woman_body,toy_location,0.0
Adults,toy_present,man_face,0.3055555555555556
Adults,toy_present,man_body,0.3611111111111111
Adults,toy_present,woman_face,0.2777777777777778
Adults,toy_present,woman_body,0.6111111111111112
Adults,toy_present,toy_location,0.0
Adults,toy_location,man_face,0.0
Adults,toy_location,man_body,0.0
Adults,toy_location,woman_face,0.0
Adults,toy_location,woman_body,0.0
Adults,toy_location,toy_present,0.0
