participant_id,trial_number,condition,participant_age_months,latency_frames,latency_ms,latency_seconds
Eight-0201-1170,2,gw,8.0,20.0,666.6666666666666,0.6666666666666666
Eight-0201-1170,9,gw,8.0,16.0,533.3333333333334,0.5333333333333333
Eight-0201-1464,1,gw,8.0,19.0,633.3333333333333,0.6333333333333333
Eight-0201-1464,2,gw,8.0,24.0,800.0,0.8
Eight-0201-1464,3,gw,8.0,20.0,666.6666666666666,0.6666666666666666
Eight-0302-5513,3,gw,8.0,35.0,1166.6666666666667,1.1666666666666667
Eight-0401-1638,1,gw,8.0,29.0,966.6666666666666,0.9666666666666667
Eight-0401-1638,2,gw,8.0,14.0,466.6666666666667,0.4666666666666667
Eight-0401-1638,3,gw,8.0,19.0,633.3333333333333,0.6333333333333333
Eight-0501-6206,1,gw,8.0,20.0,666.6666666666666,0.6666666666666666
Eight-0501-6206,2,gw,8.0,2.0,66.66666666666667,0.06666666666666667
Eight-0501-6206,3,gw,8.0,0.0,0.0,0.0
Eight-0501-6206,4,gw,8.0,0.0,0.0,0.0
Eight-0601-5801,1,gw,8.0,23.0,766.6666666666667,0.7666666666666667
Eight-0601-5801,7,gw,8.0,15.0,500.0,0.5
Eight-0601-5801,8,gw,8.0,12.0,400.0,0.4
Eight-0601-5801,9,gw,8.0,15.0,500.0,0.5
Eleven-0101-141,1,gw,11.0,25.0,833.3333333333334,0.8333333333333334
Eleven-0101-141,2,gw,11.0,15.0,500.0,0.5
Eleven-0101-342,1,gw,11.0,11.0,366.66666666666663,0.36666666666666664
Eleven-0101-342,2,gw,11.0,12.0,400.0,0.4
Eleven-0101-342,3,gw,11.0,15.0,500.0,0.5
Eleven-0201-209,1,gw,11.0,17.0,566.6666666666666,0.5666666666666667
Eleven-0201-209,2,gw,11.0,0.0,0.0,0.0
Eleven-0202-5721,1,gw,11.0,15.0,500.0,0.5
Eleven-0202-5721,2,gw,11.0,11.0,366.66666666666663,0.36666666666666664
Eleven-0202-5721,4,gw,11.0,13.0,433.33333333333337,0.43333333333333335
Eleven-0301-372,3,gw,11.0,35.0,1166.6666666666667,1.1666666666666667
