cohort,event_category,count,percentage
7-month-olds,Toy_Only,1,9.090909090909092
7-month-olds,Man_Only,0,0.0
7-month-olds,Woman_Only,0,0.0
7-month-olds,Other,0,0.0
7-month-olds,Man_Toy,3,27.27272727272727
7-month-olds,Woman_Toy,0,0.0
7-month-olds,Woman_Man,0,0.0
7-month-olds,Full_Trifecta,7,63.63636363636363
8-month-olds,Toy_Only,0,0.0
8-month-olds,Man_Only,0,0.0
8-month-olds,Woman_Only,0,0.0
8-month-olds,Other,0,0.0
8-month-olds,Man_Toy,4,26.666666666666668
8-month-olds,Woman_Toy,1,6.666666666666667
8-month-olds,Woman_Man,1,6.666666666666667
8-month-olds,Full_Trifecta,9,60.0
9-month-olds,Toy_Only,0,0.0
9-month-olds,Man_Only,1,4.0
9-month-olds,Woman_Only,0,0.0
9-month-olds,Other,0,0.0
9-month-olds,Man_Toy,8,32.0
9-month-olds,Woman_Toy,0,0.0
9-month-olds,Woman_Man,2,8.0
9-month-olds,Full_Trifecta,14,56.00000000000001
10-month-olds,Toy_Only,0,0.0
10-month-olds,Man_Only,0,0.0
10-month-olds,Woman_Only,0,0.0
10-month-olds,Other,0,0.0
10-month-olds,Man_Toy,8,21.62162162162162
10-month-olds,Woman_Toy,0,0.0
10-month-olds,Woman_Man,3,8.108108108108109
10-month-olds,Full_Trifecta,26,70.27027027027027
11-month-olds,Toy_Only,0,0.0
11-month-olds,Man_Only,0,0.0
11-month-olds,Woman_Only,0,0.0
11-month-olds,Other,0,0.0
11-month-olds,Man_Toy,1,7.6923076923076925
11-month-olds,Woman_Toy,0,0.0
11-month-olds,Woman_Man,1,7.6923076923076925
11-month-olds,Full_Trifecta,11,84.61538461538461
Adults,Toy_Only,0,0.0
Adults,Man_Only,0,0.0
Adults,Woman_Only,0,0.0
Adults,Other,0,0.0
Adults,Man_Toy,3,7.6923076923076925
Adults,Woman_Toy,2,5.128205128205128
Adults,Woman_Man,2,5.128205128205128
Adults,Full_Trifecta,32,82.05128205128204
